DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[7].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[6].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[5].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[4].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[3].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[2].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[1].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[0].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",0,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[9].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[10].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[11].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[12].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[13].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[14].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[15].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[16].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[17].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[18].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[19].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[20].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
